"Name","Price","Description","Features","Case Card","Category","Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Manual"
"Angenieux 2x Optimo Extender ","125","2X extender is compatible with the Optimo line ( except Optimo DP ). These extenders are an ideal way of increasing focal length at a cost effective price. The focal length is multiplied by 2X with only one or two T-stop loss at full aperture.","X","","Rentals>Lenses>Optical Converters","","","","","",""
"Inovativ Echo 36 Cart","120","The Echo eases the day to day grind of on-set data management by not only ergonomically appealing to the human body but also allowing for a more efficient location workflow. With a rolled top shelf for less wrist fatigue and adding a low profile drawer, the Echo presents itself with a cleaner organized working space.","X","","Rentals>Tripods & Support>Carts","","","","","",""
"Walkie Talkie Surveillance Kit","5","""The black Klein 2-wire Surveillance Transceiver headset fits the following Motorola Radios with two-prong jacks: CP88, CP150, CP200, CT150, CT250, CT450, CT450LS, GP300, GP308, GP68, GP88, LTS2000, P110, P1225/P1225LS, P200, P080, P2000, PRO3150, P040, P080, and SP50.<p>The Klein radio surveillance kits are manufactured to standards set by the Secret Service and CIA. They are comfortable, discrete, durable and reliable.<p>The Klein headset is not just for """"surveillance"""" purposes anymore...they're perfect for all film crews, security at airports, casinos and manufacturing plants, crowd control at conventions and concerts, and others working in environments requiring discrete communications.<p>The Klein Surveillance Kit includes a lightweight earphone, rubber eartip, radio connector and clothing clip. Quick disconnect earphone adapter for easy replacement of any one component. Low-profile, flexible, transparent acoustic tube. Flexible, high-grade cable for demanding applications.""","X","","2 categories 1) Rentals>Audio>Accessories and 2) Rentals>Audio>Communications","","","","","",""
"Cine Saddle Pro","15","The CineSaddle is a unique camera support product that provides a stable base for a wide variety of shots with fast and easy setup. Use it as a replacement for a tripod or fluid head or mount it to any static or moving object.  The CineSaddle is filled with high tech foam balls that push the sides of the bag tight up against the camera holding it rock steady. In similar fashion the bottom of the CineSaddle molds itself to the shape of the object it is resting on preventing it from slipping. The foam balls also absorb vibration providing a very stable surface for the camera. The CineSaddle is also extremely lightweight and simple to set up.The CineSaddle allows you to be creative because it can be used in so many ways. Place the camera and CineSaddle on any flat surface or on top of a tripod. You can even pan and tilt with the CineSaddle. With the included mounting kit you can strap the CineSaddle to any moving object and create a dolly.The CineSaddle come in variety of models depending on your needs and the size of your camera. The Marsupial CineSaddle is a full size saddle for professional cameras ranging in size from Broadcast HD to compact HD models. It includes a mounting kit and storage pouch for DV size cameras or bulky accessories.","X","","Rentals>Tripods & Support>Miscellaneous ","","","","","",""
"Canon EF 16-35mm Still Photo Zoom Lens","25","The EF 16-35mm f/2.8L II USM is a high performance, water-resistant, and ultra wide-angle Canon L-series lens. It has been specifically designed for improved edge-to-edge image quality that will meet the strict requirements of professional and high-end amateur photographers. <p>It features 3 high-precision aspherical lens elements, each of a different type: ground, replica and GMo for even better image quality than the original EF 16-35mm f/2.8L USM. The circular aperture produces a beautiful and natural background blur when shooting at wider apertures. Other features include internal focusing, a ring type USM (Ultra Sonic Monitor), and new AF algorithms for fast and quiet autofocusing.","X","","Lens-35mm Zoom","","","","","",""
"C Stand - 20in Gary Coleman","5","    30-63"" height    spring loaded base","X","","Rentals>Lighting & Grip>Grip Equipment","","","","","",""
"Canon EF 8-15mm Still Photo Zoom Lens","50","For filmmakers and photographers who want the look and feel only possible with extreme wide angle and fisheye photography, the new Canon EF 8-15mm f/4L Fisheye USM is a world-class choice. It delivers 180° diagonal angle of view images for all EOS SLR cameras with imaging formats ranging from full-frame to APS-C, and provides 180° circular fisheye images for full-frame EOS models. It features UD glass for suppression of chromatic aberration, a Subwavelength coating for reduced ghosting, a newly developed Fluorine coating that keeps soiling, smears and fingerprints to a minimum, has full-time manual focus for instant switching from AF to Manual operation, and is built to the standards of the amazing Canon L-series of lenses. This means the finest optics, the best construction and the best performance available, all in a lens designed to stimulate creativity and deliver stunning images every time.","X","","Lenses","","","","","",""
"Canon 2x EF Extender ","20","This extender has been re-designed optically and offers excellent performance with compatible EF lenses (same as the Extender EF 1.4x II). Features a new seven-element design, and same weather-resistant design and anti-reflection internal construction as the new EF 1.4x II. The EF 2x II doubles the focal length of any lens it's mounted to, and reduces its effective aperture by two stops. With the EF 2x II, AF is possible with any EOS body if the lens has an f/2.8 or faster maximum aperture, and compatible Image Stabilization lenses maintain the IS feature when used with any current EOS camera.","X","X","Lens-Optical Converter; ","Canon 2x EF Extender.1.jpg","","","","","Canon 2x EF Extender.manual.pdf"
"C Stand with Turtle Base (GN)","5","C+Stand known also as a Turtle Base C-Stand, this stand was developed by MSE primarily for the Still Photographic and Video markets. The riser column removes from the base for easy transport. The latest version of the C+(r) Stand features the new Posi-V-Lock receiver.These stands used with shot bags are so multi-purpose there shouldn't be a reason not to use them. From holding a flag or a light to holding your talents body in place this stand can do it all. ","X","","Rentals>Lighting & Grip>Grip Equipment ","","","","","",""
"Arri 35mm Director’s Finder","75","The Arri Director Viewfinder is a PL mount 35mm format director viewfinder used to preview a lens’ field of view before putting it on camera, thus saving precious time in assessing the next set up on a film set.","• 35mm Arri Director's Viewfinder• PL Mount• Accepts Arri 35III groundglasses• Adjustable eyepiece diopter","","Lens-Accessory","","","","","",""
"Arriflex LMB-25 4X5 Clip On Mattebox","40","?","X","","Rentals>Matteboxes","","","","","",""
"Canon EF to Micro 4/3 Four Thirds Speed Booster","50","Mounted between a mirrorless camera and a SLR lens, Speed Booster® increases maximum aperture by 1 stop (hence its name), increases MTF and makes lens wider by a factor of 0.71x.","• Increase maximum aperture by 1 stop. • Increase MTF.• Makes lens 0.71x wider.• Build-in electronics to control lens aperture.• The lens aperture is set by the controls on the camera body.• Powered by camera body. no external power source required. (also accept 3rd party external power supply via MicroUSB socket when using with passive MFT mount camera e.g. BMCC 2.5K) • High performance 32-bit processor and efficient switched-mode power supply.• The tripod foot is detachable and compatible with Arca Swiss, Markins and Photo Clam ball heads.","","Lens-Adapter","","","","","",""
"Canon EF to Sony E Mount Speed Booster Ult","50","New optical design:  advanced 5-element/4-group optical design incorporating ultra-high index tanatalum-based optical glass to achieve extraordinary optical performance with improved corner sharpness, distortion and reduced vignetting.Like the revolutionary original Metabones Speed Booster announced in January 2013, the Speed Booster ULTRA has a magnification of 0.71x, and so it effectively reduces the crop factor of mirrorless cameras with DX-sized sensors, such as Sony E-mount and Fuji X-mount cameras, from 1.5x to 1.07x.  However, the new ULTRA design makes very effective use of exotic materials at the furthest limit of glassmaking technology, and as a result is well corrected for use with virtually all fullframe SLR lenses regardless of exit pupil distance. Thus, the Speed Booster ULTRA performs extremely well with professional-grade f/2.8 zoom lenses such as the 24-70mm f/2.8 and 70-200mm f/2.8 zooms by Canon and Nikon to produce 17-50mm f/2.0 and 50-142mm f/2.0 high-speed zooms, respectively.  Similarly, high-speed fixed focal length lenses such as a 50mm f/1.2 will be transformed into a 35.5mm f/0.9 lens with excellent contrast and resolution from the center all the way to the edges of the image. (More information can be found in the press release here)","• Increase maximum aperture by 1 stop.• Increase MTF.• Makes lens 0.71x wider. • Advanced 5-element/4-group optical design incorporating ultra-high index tanatalum-based optical glass by Caldwell Photographic in the USA (patent pending).• Electronic integration of aperture diaphragm, controlled by or from the camera body.• Partial autofocus support for late-model (post-2006) Canon-brand lenses.• Powered by camera body. No external power source required.• High performance 32-bit processor and efficient switched-mode power supply.• The tripod foot is detachable and compatible with Arca Swiss, Markins, Photo Clam ball heads.","","Lens-Adapter","","","","","",""
"Canon EF to Sony E MK IV Mount Adapter","50","X","• True electronic integration of aperture diaphragm - let camera automatically choose aperture in P or S exposure modes, or dial in yourself on the camera body in A or M modes.• Powered by camera body. No external power source required.• Wide open button (opposite of depth-of-field preview function) makes manual focusing easy.• The tripod foot is detachable and compatible with Arca Swiss, Markins, Photo cam ball heads.• High performance 32-bit processor and efficient switched-mode power supply.","","Lens-Adapter","","","","","",""
"Veydra 16mm Micro 4/3 T2.2 Mini Prime Lens","30","Veydra Mini Prime lenses bring high quality cinema optics that exceed 4K resolution in a purpose-built size and mount for the Micro 4/3 format.<p>    Every cinema quality necessary detail has been brought to reality in these lenses including a smooth 300 degree focus range, constant T Stop, 9 blade iris for a round pleasing bokeh, high quality aluminum housings, plated brass mount for long term durability, 77mm filter threads for easy filter changes, and mattebox compatible 80mm front diameter for all lenses.<p>                              We carry the Veydra 12mm, 16mm, 25mm, 35mm and 50mm Mini Primes. ","• Resolution that exceeds 4K<p>• Cinema 0.8 module focus and iris gears<p>• Consistent front 80mm outside diameter & 77mm filter threading<p>• Similar length for quick lens changes<p>• Constant T2.2 aperture for easy lighting set ups<p>• Plated brass mounts for durability","","Rentals>35mm>Prime","","","","","",""
"Arri 16mm Macro Prime Lens","85","T2.1 with Minimum Focus at 5.5 inches","X","","Lenses","","","","","",""
"Arriflex LMB-4 6X6 Clip On Mattebox","5","The lightweight matte box LMB-4 includes two 6.6"" x 6.6"" push-through filter frames and attaches directly to the front diameter of the lens.","X","","2 Categories 1) Rentals>Lenses>Accessories2)Rentals>Matteboxes>Clip-On","","","","","",""
"Arriflex MB-19 4X5 Lightweight Studio Mattebox","5","The MB-19 is a compact, lightweight production matte box. When mounted on the new lightweight support LWS-3, graduated filters can be pushed through unhindered. Side flags with adjustable segments, used in conjunction with the top light shield provide optimum protection against unwanted light. Also available are sets of clip-on mattes for use with both 16mm and 35mm formats. By use of additional adapters the matte box can also be mounted on the 15 or 19mm support rods of conventional bridge plates, for use with 35mm camera as well as with the 16SR. <p>To simplify lens changing, the matte box swings out. For quick adaptation to different lens lengths, the matte box can be moved back and forth with a lockable adjustment knob. A holder for secure mounting of french flags is included.","Filter size 4""x5.65""/ round 138<p>Compact lightweight matte box formedium-wide primes, 16mm and HD zooms<p>Compatible with ARRI lightweight support<p>With adapter, compatible with studio bridge plate and ARRI HD baseplate","","2 Categories: 1)  Rentals>Lenses>Accessories and 2) Rentals>Matteboxes>Lightweight Studio","","","","","",""
"Canon 7D EF-S 17-55mm Still Photo Zoom Lens ","20","To meet user demands for a fast EF-S zoom lens, Canon has specially designed a lens with a large aperture of f/2.8 for select Canon Digital SLR cameras. The large circular aperture produces a shallow depth-of-field, creating background blur that draws attention to the photographic subject. <p>The lens construction includes UD and aspherical elements, which deliver impressive image quality throughout the entire zoom range. Image Stabilizer lens groups shift to compensate for camera movement so that the image appears steady on the image plane, ensuring clear, crisp images, even in dim light. With a Ring-type USM, inner focusing and new AF algorithms, this lens achieves autofocus quickly and quietly, and with full-time mechanical manual focusing, manually adjusting the focus is possible even in AF mode.","X","","Rentals>Lenses>35mm Still Zoom","","","","","",""
"Canon CN-E EF 24mm T1.5 Prime Lens","70","The Cinema prime CN-E24mm T1.5 L F (EF mount) lens offers a compact, consistent lens design and proven Canon lens elements for performance and reliability in professional shooting environments.<p>Intended for the working professional, the EF Cinema prime CN-E24mm T1.5 L F lens has markings on angled surfaces on both sides of the barrel, making it easy to read focus and aperture settings from behind or from either side of the camera. Focus markings can even be switched from standard labeling to metric. The control rings are engineered to maintain the proper amount of resistance with consistent operating torque.<p>Designed to fulfill contemporary 4K production standards, it features a full-frame imaging circle in a lightweight, compact design-this phenomenal lens is also perfect for any number of applications. It also features an 11-blade aperture diaphragm for beautiful background blur and innovative glass construction that counteracts barrel expansion and contraction to avoid temperature induced marking discrepancies.","• 4K Ready<p>• EF Mount<p>• 11-Blade Iris<p>                                                 • Designed for Cinema Style Lens Control<p>• Dust and Water Resistant<p>                                                 • Minimized Focus Breathing<p>• 105mm Front Lens Threading for Screw on Filters<p> ","","Rentals>Lenses>35mm Cinema Prime","","","","","",""
"Axis1 Wireless Follow Focus System","25","The Axis1 is a wireless single channel follow focus solution transmitting on a secure 2.4ghz data stream with transmittance of 100m (328’) line-of-sight.  Built to be simple, easy and robust, it can handle any lens, including the stiffest freezing cold cine zooms, and can even be manually set to work on stopless DSLR lenses.  <p>The system consists of three parts:  the Axis1 Digital Controller, Axis1 Digital Receiver and the HPM-1 Digital motor.","• Simple but capable single channel remote focus system• Automatic end stop and torque calibration, plus manual calibration option• Full size 355 degree fluid drag focus knob, with conical or Preston Style rings available.  • Very high resolution sensor.• Remote camera run function, including Red Epic and Scarlet native support. Also LANC control for Canon C300/500, Black Magic, etc.• Secure 2.4ghz transmission with 12 selectable channels, line of sight range, about 100M• Incredibly fast and responsive, with no visible latency• Unparalelled motor speed and response when used with our HPM-1 Focus motor• User definable soft stops on the hand unit to limit the range of the lens• Hand unit runs on Canon LP-E6 lithium ion battery, about four shoot days can be expected from each charge• Two way data flow between receiver and hand unit• Full digital 16bit transmission• Very simple and robust system with very compact receiver unit","","2 Categories: 1) Rentals>Lenses>Accessories and 2) Rentals>Cameras>Accessories","","","","","",""
"CINEfocus r3 Light Weight Follow Focus - WILL WE NEED TO CHANGE THIS NAME IN ICBA to CINEfocus Pro Follow Focus?","40","This single-sided version of the CINEfocus Pro Follow Focus is used as a focusing aid providing precise and accurate control over the focus of your 35mm lenses."," • A/B Hard Stops (Can be removed and stored at the front of the focus knob)<p>• Reversible Gear Direction (great for Nikon Lenses)<p>                                                       • Swing Arm Design<p> • Drive Gear mountable on either side of Swing Arm<p> • Adjustable Dampening<p> • Quick Release Rods Mount<p> ","","Rentals>Lenses>Accessory","","","","","",""
"Cue Script CS 15 Prompter Display","250","The CueScript CSM15 prompter is styled for use in studio as well as on location. The sleek design has an integrated mounting system allowing for quick, easy setup and the LED high brightness screen means clarity of the autocue isn't impaired if shooting in daylight.","X","","Rentals>Display>Prompters","","","","","",""
"Zylight Z90 Compact LED Light","","","","Z90 Lamp HeadAC Power Supply w/ AC CableA/B Tap Power Cable Baby Spud AdapterHot Shoe MountMXLR4 to DC Power Cable Laminated Cheat Sheet","","","","","","",""
"Steadicam Zephyr","","","","Zephyr Camera Stabilizer SledMonitor & Mounting ScrewDovetail Plate With Locator Pin(2) Dovetail Safety BoltsArm With Plunger Pin & Soft BagVest & Socket BlockDocking Bracket & (2) Lock ScrewsDocking Safety Pin & Safety Chain(2) Hirose Monitor Breakout Cable(2) 3 Pin LEMO-FXLR4 Power CableAccessory Bag & Case1/4-20 Screw (Skinny)1/4-20 Screw (Standard)(2) Toothed Washer(2) 3/8-16 Screw(3) Short BNC Cables(3) Right Angle BNC Adapter(2) BNC BarrelBNC Male - RCA FemaleRCA Male - BNC Female(8) Counter WeightsManual","","","","","","",""
"Zoom H4n Portable SDHC Audio Recorder","","","","Zoom H4n RecorderPortabrace Bag and StrapRC4 Remote & Extension CableManfrotto Mini-Ball Hotshoe MountAC Power SupplySescom LN2MIC-ZMH4-MON Cable(2) XLR Female  - 1/4” TRS MaleUSB Card ReaderUSB A to USB Mini B CableManual(2) Spare “AA” Battery","","","","","","",""
"Zoom H6 Portable SDHC/XC Audio Recorder","","","","Zoom H6 RecorderDual XLR/TRS Combo InputMid Side Stereo MicrophoneXY Stereo MicrophoneStrut Bag & StrapAuray Remote ControlManfrotto Mini-Ball Hotshoe Mount(2) Sescom LN2MIC-ZM6 Cable(2) XLR Female - 1/4” TRS MaleAC USB Power SupplyUSB A to USB Mini B CableUSB Card Reader & CableManual(4) Spare “AA” Battery","","","","","","",""
"Panasonic BT LH1760P 17 inch HD-SDI/SD Monitor","","","","","","","","","","",""
"Zeiss 18mm T1.3 (Superspeed) Prime Lens","","","","","","","","","","",""
"Zeiss 35mm T1.3 (Superspeed) Prime Lens","","","","","","","","","","",""
"Zeiss 50mm T1.3 (Superspeed) Prime Lens","","","","","","","","","","",""
"Zeiss 65mm T1.3 (Superspeed) Prime Lens","","","","","","","","","","",""
"Zeiss 85mm T1.3 (Superspeed) Prime Lens","","","","","","","","","","",""
"Arri Regular Light Kit","","","","","","","","","","",""
"PDW F800 XDCAM Camcorder","","","","","","","","","","",""
"SmallHD DP6-SDI 5.6in HD/SD Monitor","","","","","","","","","","",""
"Panasonic BT LH910G 9 inch LCD HD/SD Monitor","","","","","","","","","","",""
"Sennheiser SKP100 G3 Wireless Plug On Transmitter","","","","","","","","","","",""
"Litepanels Ringlite Mini","","","","","","","","","","",""
"Sony AXS R5 Dockable 4K 2K Memory Recorder","","","","","","","","","","",""
"AWS 750 Anycast Touch Live Content Producer Switcher","","","","","","","","","","",""
"FreeFly MōVI Ring","","","","","","","","","","",""
"Panasonic AV HS400 HD / SD Switcher","","","","","","","","","","",""
"Litepanels 1x1 5600 50 degr. flood Light","","","","","","","","","","",""
"Sennheiser MKE 400 Miniphone Shotgun","","","","","","","","","","",""
"Canon 30-105mm PL Mount Zoom Lens","","","","","","","","","","",""
"Canon 15.5-47mm PL Mount Zoom Lens","","","","","","","","","","",""
"Zeiss 70-200mm Compact Zoom Lens","","","","","","","","","","",""
"Fujinon 85-300mm Cabrio Zoom Lens","","","","","","","","","","",""
"Kino Flo Tegra  FixtLighture 4ft 4 Bank","85","Kino Flo's new Tegra® 4Bank DMX redefines the evolution of light by combining the Academy-award winning features of the 4ft 4Bank portable system with onboard control features of the Diva-Lite 401. The all-in-one Tegra 4Bank DMX features new levels of control with DMX and onboard dimming, DMX and onboard lamp switching, remote hand-held dimming, and Universal input voltage (100VAC to 240VAC).  The Tegra 4Bank DMX produces as much light as a 1000W tungsten softlight using only one third the amount of power at 2.8A (120VAC) compared to the tungsten softlight at 8.3A.  Proprietary solid state electronics operate the lamps at high output, flicker-free, and dead quiet. The built-in barndoors with newly designed hinges, honeycomb louver and center mount system make the lightweight Tegra ideal for hand-held shots, rigging in tight locations or mounting on a light stand. ","The Tegra 4Bank DMX FixtureDMX and manual lamp dimmingDMX and manual lamp switchingUniversal Input 100VAC-240VACRemote dimmingBuilt-in BarndoorsCenter MountReflectorLouverTrue Match® daylight and tungsten balanced lamps","""Tegra 4ft 4 Bank FixtureStand Mount w/ Baby Receiver(5) Daylight Bulbs(5) Tungsten BulbsLamp Case90 Degree Honeycomb LouverCardboard Case Insert4ft 4 Bank Half FlozierFlozier Bag""","Lighting","Kino Flo Tegra Light Fixture 4ft 4 Bank.1.jpg","","","","","Kino Flo Tegra  FixtLighture 4ft 4 Bank.manual.pdf"
"Zeiss 28-80mm Compact Zoom Lens","","","","","","","","","","",""
"Prompter people Proline 11 Teleprompter","","","","","","","","","","",""
"PVM A170 OLED 17 inch HD-SDI/HDMI Monitor","","","","","","","","","","",""
"Panasonic Lumix DMC-GH4 Camera","","","","","","","","","","",""
"Sony Alpha a7S Mirrorless Camera","","","","","","","","","","",""
"FreeFly MōVI M15 3-Axis Digital Stabilized Camera Gimbal","","","","","","","","","","",""
"Panasonic VariCam Super 35mm Camera","","","","","","","","","","",""
"SmallHD DP7 High Bright SX 6.9in HD/SD Monitor","","","","","","","","","","",""
"Canon HJ 11ex4.7 B IRSE HD Wide Angle Zoom Lens","","","","","","","","","","",""
"UM 400 Digital Hybrid Beltpack Transmitter","","","","","","","","","","",""
"UT 400 Handheld Microphone Digital Hybrid Wireless Transmitter","","","","","","","","","","",""
"HDW F900R HDCAM Camcorder","","","","","","","","","","",""
"WEVI Camwave Wireless Transmitter","","","","","","","","","","",""
"BRC 300 3CCD Mega Pixel PTZ Robotic Camera","","","","","","","","","","",""
"Fujinon HA 25x11.5 BERD HD Zoom Lens","","","","","","","","","","",""
"Sound Devices 788T 8 Track Digital Audio Recorder","","","","","","","","","","",""
"AJ HPX2700 Varicam P2 AVCIntra Camcorder","","","","","","","","","","",""
"WEVI CW5 HD Camwave Wireless Transmitter","","","","","","","","","","",""
"PDW HD1500 Professional Disc Recorder","","","","","","","","","","",""
"SxS Pro 32GB Memory Card","","","","","","","","","","",""
"Panasonic 64GB P2 Card","","","","","","","","","","",""
"K-Tek KE-100CC Boom Pole","10","The K-Tek KE-110CC Avalon Series Aluminum Boompole has a sturdy aluminum design, tough enough to endure the rigors of road use while remaining lightweight and travel worthy. This pole features an internally coiled cable and XLR connection at the base of the pole. A total of 5 aluminum sections telescope between 2' 7""-9' 2"" and will easily store in any standard equipment case. The captive-collet coupling system lock each section in place for further reliability.","Internally coiled XLR cable and connection at the baseThe KE-110CC features a bottom-mounted 3-pin XLR connectionDesigned to fit in any standard equipment case, for ENG, EFP and DV location production workJam-resistant collar couplingUnique pole top design with cable retention slots and replaceable stailess steel mounting stud","X","Audio-Accessory","K-Tek KE-100CC Boom Pole.1.jpg","","","","",""
"UM 100 Wireless Belt Pack Transmitter","","","","","","","","","","",""
"Zaxcom ZFR100 Flash Sound Recorder","","","","","","","","","","",""
"ARRIFLEX 416PLUS SUPER 16MM CAMERA","","","","","","","","","","",""
"ARRIFLEX 435ES 35MM CAMERA","","","","","","","","","","",""
"ARRIFLEX 535B 35MM CAMERA","","","","","","","","","","",""
"Century 6mm PL Prime Lens","","","","","","","","","","",""
"Zeiss 12mm PL Prime Lens","","","","","","","","","","",""
"Zeiss 16mm PL Prime Lens","","","","","","","","","","",""
"Zeiss 25mm PL Prime Lens","","","","","","","","","","",""
"Zeiss 9.5mm PL Prime Lens","","","","","","","","","","",""
"Canon 11-165mm Super16 Zoom Lens","","","","","","","","","","",""
"Canon 6.6-66mm Super16 Zoom Lens","","","","","","","","","","",""
"Canon 8-64mm Super16 Zoom Lens","","","","","","","","","","",""
"Nikon 105mm Prime Lens","","","","","","","","","","",""
"Nikon 135mm Prime Lens","","","","","","","","","","",""
"Nikon 24mm Prime Lens","","","","","","","","","","",""
"Nikon 35mm Prime Lens","","","","","","","","","","",""
"Nikon 50mm Prime Lens","","","","","","","","","","",""
"Nikon 85mm Prime Lens","","","","","","","","","","",""
"Cooke 100mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 14mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 18mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 25mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 32mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 40mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 50mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 75mm S4 Prime Lens","","","","","","","","","","",""
"Arri 100mm Macro Prime Lens","","","","","","","","","","",""
"Zeiss 100mm T2.1 (Standard) Prime Lens","","","","","","","","","","",""
"Zeiss 10mm Prime Lens","","","","","","","","","","",""
"Zeiss 12mm Prime Lens","","","","","","","","","","",""
"Zeiss 135mm Prime Lens","","","","","","","","","","",""
"Zeiss 14mm Prime Lens","","","","","","","","","","",""
"Zeiss 16mm T2.1 (Standard) Close Focus Prime Lens","","","","","","","","","","",""
"Zeiss 180mm Prime Lens","","","","","","","","","","",""
"Zeiss 24mm T2.1 (Standard) Close Focus Prime Lens","","","","","","","","","","",""
"Zeiss 25mm T1.3 (Superspeed) Prime Lens","","","","","","","","","","",""
"Zeiss 32mm T2.1 (Standard) Close Focus Prime Lens","","","","","","","","","","",""
"Zeiss 40mm T2.1 (Standard) Prime Lens","","","","","","","","","","",""
"Zeiss 50mm T2.1 (Standard) Prime Lens","","","","","","","","","","",""
"Zeiss 85mm T2.1 (Standard) Prime Lens","","","","","","","","","","",""
"Angenieux 25-250mm HR Zoom Lens","","","","","","","","","","",""
"Century 150-600mm Series 2000 Zoom Lens","","","","","","","","","","",""
"Century 17-35mm Compact Zoom Lens","","","","","","","","","","",""
"Cooke 18-100mm Zoom Lens","","","","","","","","","","",""
"Century 1.4x PL Range Extender","","","","","","","","","","",""
"Canon HJ 21ex7.5B IRSD HD Zoom Lens","","","","","","","","","","",""
"Panasonic BT LH80W 7.9 inch LCD HD/SD Monitor","","","","","","","","","","",""
"Leader 5872 Waveform/Vect. Combo","","","","","","","","","","",""
"Ronford Mitchell Base Baby Legs","","","","","","","","","","",""
"Power Pod 2Axis Remote head","","","","","","","","","","",""
"Tango Tango Swing Head","","","","","","","","","","",""
"Hot Button Wheels For Doorway Dolly","","","","","","","","","","",""
"DSLR Cinema Support","","","","","","","","","","",""
"Cooke 21mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 27mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 35mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 65mm S4 Prime Lens","","","","","","","","","","",""
"Cooke 135mm S4 Prime Lens","","","","","","","","","","",""
"Chrosziel Light Weight Follow Focus","","","","","","","","","","",""
"Angenieux 17-80mm Optimo Zoom Lens","","","","","","","","","","",""
"Cine Magic Cinewand ","","","","","","","","","","",""
"Lensbaby 3G PL","","","","","","","","","","",""
"Preston FI+Z3 / MDR2 Wireless Focus Iris Zoom Control ( FIZ3 )","","","","","","","","","","",""
"Angenieux 15-40mm Optimo Zoom Lens","","","","","","","","","","",""
"Century Swing/Shift Lens System","","","","","","","","","","",""
"Tram TR 50 Lavalier Wireless Microphone Kit","","","","","","","","","","",""
"Tram TR 50 Power Supply","","","","","","","","","","",""
"Zeiss ZF 18mm Prime Lens","","","","","","","","","","",""
"Zeiss ZF 28mm Prime Lens","","","","","","","","","","",""
"Zeiss ZF 35mm Prime Lens","","","","","","","","","","",""
"Zeiss ZF 50mm Prime Lens","","","","","","","","","","",""
"Zeiss ZF 85mm Prime Lens","","","","","","","","","","",""
"Red Nikon Mount","","","","","","","","","","",""
"Canon TC 80N3 EOS Timer Remote Control","","","","","Rentals>Cameras> Accessories","","","","","",""
"Duclos 11-16mm PL Mount Variable Prime Lens","","","","","","","","","","",""
"Zeiss ZF 21mm Prime Lens","","","","","","","","","","",""
"Canon EF 100mm Macro Prime Lens","","","","","","","","","","",""
"Zeiss ZF 25mm Prime Lens","","","","","","","","","","",""
"Panasonic AG HPX370 P2 Camcorder","","","","","","","","","","",""
"Sony VPL EW7 Projector","","","","","","","","","","",""
"Litepanels micro pro LED light","","","","","","","","","","",""
"Zeiss ZF 100mm Macro Prime Lens","","","","","","","","","","",""
"PMW F3 Super 35mm XDCAM EX Camera","","","","","","","","","","",""
"Nikon Lens to E Mount System Camera Adapter","","","","","","","","","","",""
"Lectro SRa5P Slot Dual Digital Hybrid Wireless Receiver","","","","","","","","","","",""
"BeachTek DXA SLR Audio Interface","","","","","","","","","","",""
"Angenieux 28-76mm Optimo Zoom Lens","","","","","","","","","","",""
"Panasonic AG HMX100 Digital AV Mixer / Switcher","","","","","","","","","","",""
"SxS Pro 64GB Memory Card","","","","","","","","","","",""
"RED EPIC X 5K Digital Cinema Camera ","","","","","","","","","","",""
"Angenieux 45-120mm Optimo Zoom Lens","","","","","","","","","","",""
"Canon EF 24mm Tilt Shift Prime Lens","","","","","","","","","","",""
"Sennheiser EK100 G3 Wireless Diversity Receiver","","","","","","","","","","",""
"256GB Solid State Drive for Gemini 444","","","","","","","","","","",""
"Sennheiser MKH 8060 Shotgun Mic","","","","","Rentals>Audio>Microphones-Shotgun","","","","","",""
"PVM 1741 OLED 17 inch HD-SDI/HDMI Monitor","","","","","","","","","","",""
